"Marca temporal","Cual_es_mi_tu_marca_de_ropa_fav","Cual_de_estas_Zapatillas_te_gustan_mas"
"2021/08/11 6:10:39 p. m. GMT-3","Nike","Nike Air Force 1"
"2021/08/11 6:11:02 p. m. GMT-3","Nike;Adidas","adidas Yeezy Boost 350 V2 Rojo"
"2021/08/11 6:11:09 p. m. GMT-3","Nike","Air Jordan 1 Mid"
"2021/08/11 6:11:27 p. m. GMT-3","Nike","Air Jordan 1 Mid"
"2021/08/11 6:11:37 p. m. GMT-3","Nike","Nike Air Force 1"
"2021/08/11 6:11:56 p. m. GMT-3","Adidas","Air Jordan 1 Mid"
"2021/08/11 6:13:06 p. m. GMT-3","Hollister","adidas Yeezy Boost 350 V2 Rojo"
"2021/08/11 6:13:31 p. m. GMT-3","Nike","Air Jordan 1 Mid"
"2021/08/11 6:13:40 p. m. GMT-3","Nike","Air Jordan 1 Mid"
"2021/08/11 6:13:56 p. m. GMT-3","Nike","Air Jordan 1 Mid"
"2021/08/11 6:14:02 p. m. GMT-3","Nike","Nike Air Force 1"
"2021/08/11 6:14:38 p. m. GMT-3","Adidas","adidas Yeezy Boost 350 V2 Rojo"
"2021/08/11 6:14:50 p. m. GMT-3","Adidas","adidas Yeezy Boost 350 V2 Rojo"
"2021/08/11 6:14:55 p. m. GMT-3","Nike","Nike Air Force 1"
"2021/08/11 6:15:17 p. m. GMT-3","Zara","Nike Air Force 1"
"2021/08/11 6:15:28 p. m. GMT-3","Zara","Nike Air Force 1"
"2021/08/11 6:15:39 p. m. GMT-3","Nike","Air Jordan 1 Mid"
"2021/08/11 6:16:00 p. m. GMT-3","Adidas","adidas Yeezy Boost 350 V2 Rojo"
"2021/08/11 6:17:03 p. m. GMT-3","Nike","Air Jordan 1 Mid"
"2021/08/11 6:17:09 p. m. GMT-3","H&M","adidas Yeezy Boost 350 V2 Rojo"
"2021/08/11 6:17:12 p. m. GMT-3","Zara","Nike Air Force 1"
"2021/08/11 6:17:16 p. m. GMT-3","Nike","Air Jordan 1 Mid"
"2021/08/11 6:17:17 p. m. GMT-3","Zara","Nike Air Force 1"
"2021/08/11 6:17:20 p. m. GMT-3","Adidas","adidas Yeezy Boost 350 V2 Rojo"
"2021/08/11 6:17:24 p. m. GMT-3","Hollister","Nike Air Force 1"
"2021/08/11 6:17:30 p. m. GMT-3","H&M","adidas Yeezy Boost 350 V2 Rojo"
"2021/08/11 6:24:33 p. m. GMT-3","Nike","Nike Air Force 1"
"2021/08/11 8:22:54 p. m. GMT-3","Zara","Nike Air Force 1"
"2021/08/11 8:51:33 p. m. GMT-3","Adidas","Air Jordan 1 Mid"
"2021/08/11 9:30:58 p. m. GMT-3","Adidas","Air Jordan 1 Mid"